"filename", "language", "Svelte", "CSS", "JSON", "JavaScript", "TypeScript", "comment", "blank", "total"
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/api/doodles.ts", "TypeScript", 0, 0, 0, 0, 32, 0, 3, 35
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/map.js", "JavaScript", 0, 0, 0, -5, 0, 0, -4, -9
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/package-lock.json", "JSON", 0, 0, 7, 0, 0, 0, 0, 7
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/package.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/src/App.svelte", "Svelte", 10, 0, 0, 0, 0, 1, 0, 11
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/src/app.css", "CSS", 0, 11, 0, 0, 0, 0, 4, 15
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/src/components/BrushSettings.svelte", "Svelte", -359, 0, 0, 0, 0, -4, -34, -397
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/src/components/ColorBarBottom.svelte", "Svelte", -303, 0, 0, 0, 0, -1, -36, -340
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/src/components/ColorBarSide.svelte", "Svelte", -195, 0, 0, 0, 0, -1, -23, -219
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/src/components/ColorBottom2.svelte", "Svelte", -464, 0, 0, 0, 0, -1, -50, -515
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/src/components/DrawingRoomDataHandler.svelte", "Svelte", 187, 0, 0, 0, 0, 24, 28, 239
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/src/components/MainCanvasHub.svelte", "Svelte", 305, 0, 0, 0, 0, 0, 29, 334
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/src/components/MainPage.svelte", "Svelte", -289, 0, 0, 0, 0, -1, -31, -321
