"filename", "language", "XML", "Svelte", "TypeScript", "CSS", "JSON", "JavaScript", "Markdown", "HTML", "JSON with Comments", "comment", "blank", "total"
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/src/components/toolbars/EraserSettings.svelte", "Svelte", 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 11, 72
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/src/components/toolbars/PaletteInSettings.svelte", "Svelte", 0, 219, 0, 0, 0, 0, 0, 0, 0, 0, 27, 246
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/src/components/toolbars/Slider.svelte", "Svelte", 0, 292, 0, 0, 0, 0, 0, 0, 0, 2, 42, 336
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/src/components/toolbars/TextSettings.svelte", "Svelte", 0, 240, 0, 0, 0, 0, 0, 0, 0, 0, 28, 268
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/src/components/toolbars/TopToolBar.svelte", "Svelte", 0, 111, 0, 0, 0, 0, 0, 0, 0, 0, 14, 125
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/src/components/toolbars/UndoRedoBottom.svelte", "Svelte", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 3, 29
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/src/graphics/Arrow.svelte", "Svelte", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/src/graphics/ArrowLeft.svelte", "Svelte", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 5, 35
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/src/graphics/Close.svelte", "Svelte", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/src/graphics/CursorPointer.svelte", "Svelte", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/src/graphics/DownArrow.svelte", "Svelte", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/src/graphics/EditIcon.svelte", "Svelte", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/src/graphics/Eraser.svelte", "Svelte", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/src/graphics/EraserStroke.svelte", "Svelte", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/src/graphics/Folder.svelte", "Svelte", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/src/graphics/GearIcon.svelte", "Svelte", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/src/graphics/Kiss.svelte", "Svelte", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/src/graphics/Lock.svelte", "Svelte", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/src/graphics/Marker.svelte", "Svelte", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/src/graphics/Moon.svelte", "Svelte", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/src/graphics/MouseCursor.svelte", "Svelte", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/src/graphics/NavButton.svelte", "Svelte", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/src/graphics/Navbar.svelte", "Svelte", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/src/graphics/Rectangle.svelte", "Svelte", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/src/graphics/Redo.svelte", "Svelte", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/src/graphics/SaveIcon.svelte", "Svelte", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/src/graphics/SideArrow.svelte", "Svelte", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
