"filename", "language", "Svelte", "XML", "TypeScript", "CSS", "JSON with Comments", "JavaScript", "JSON", "Markdown", "HTML", "comment", "blank", "total"
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/src/graphics/ArrowLeft.svelte", "Svelte", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/src/graphics/Close.svelte", "Svelte", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/src/graphics/CursorPointer.svelte", "Svelte", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/src/graphics/DownArrow.svelte", "Svelte", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/src/graphics/Folder.svelte", "Svelte", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/src/graphics/GearIcon.svelte", "Svelte", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/src/graphics/Kiss.svelte", "Svelte", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/src/graphics/Lock.svelte", "Svelte", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/src/graphics/Marker.svelte", "Svelte", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/src/graphics/Moon.svelte", "Svelte", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/src/graphics/NavButton.svelte", "Svelte", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/src/graphics/Navbar.svelte", "Svelte", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/src/graphics/Rectangle.svelte", "Svelte", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/src/graphics/Redo.svelte", "Svelte", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/src/graphics/SaveIcon.svelte", "Svelte", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/src/graphics/SideArrow.svelte", "Svelte", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/src/graphics/SmallCheck.svelte", "Svelte", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/src/graphics/Sun.svelte", "Svelte", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/src/graphics/TextCenter.svelte", "Svelte", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/src/graphics/TextIcon.svelte", "Svelte", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/src/graphics/TextLeft.svelte", "Svelte", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/src/graphics/TextRight.svelte", "Svelte", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/src/graphics/TrashCan.svelte", "Svelte", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/src/graphics/TrashCanBig.svelte", "Svelte", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/src/graphics/Undo.svelte", "Svelte", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/src/graphics/Unlock.svelte", "Svelte", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/src/lib/Counter.svelte", "Svelte", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/src/main.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 3, 9
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/src/vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 3
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/stores/alertStore.ts", "TypeScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
